state,plants
california,23543627
kentucky,575207
oregon,491269
tennessee,437695
arizona,321457
utah,305379
washington,284266
idaho,239494
colorado,232182
nevada,123765
wisconsin,77307
north carolina,48831
texas,35612
georgia,34801
virginia,18295
alabama,16550
michigan,11045
new mexico,8168
indiana,8121
montana,7442
arkansas,6419
ohio,6338
missouri,3853
minnesota,3520
south carolina,2332
west virginia,1470
florida,1469
illinois,1404
pennsylvania,596
vermont,532
alaska,157
south dakota,125
wyoming,125
nebraska,82
new hampshire,67
maine,67
mississippi,47
louisiana,5
